Time,Distance,Speed,Lap,Sector,Brake Times,Map Crashed,Car Crashed,Passed Circus,Passed Crosswalk,Car Overturned
0,0,13,1,1,0,0,0,0,0,0
1,0,22,1,1,0,0,0,0,0,0
2,0,29,1,1,0,0,0,0,0,0
3,1,27,1,1,0,0,0,0,0,0
4,1,25,1,1,0,0,0,0,0,0
5,2,23,1,1,0,0,0,0,0,0
6,2,20,1,1,0,0,0,1,0,0
7,2,19,1,1,0,0,0,1,0,0
8,3,26,1,1,0,0,0,0,0,0
9,4,34,1,1,0,0,0,0,0,0
10,4,42,1,1,0,0,0,0,0,0
11,5,50,1,1,0,0,0,0,0,0
12,6,52,1,1,0,0,0,0,0,0
13,7,50,1,1,0,0,0,0,0,0
14,8,47,1,1,0,0,0,0,0,0
15,9,34,1,1,0,0,0,2,0,0
16,10,23,1,1,0,0,0,2,0,0
17,9,17,1,1,0,0,0,2,0,0
18,9,23,1,1,0,0,0,0,0,0
19,10,30,1,1,0,0,0,0,0,0
20,11,39,1,1,0,0,0,0,0,0
21,12,47,1,1,0,0,0,0,0,0
22,13,51,1,1,0,0,0,0,0,0
23,13,24,1,2,1,0,0,3,0,0
24,14,20,1,2,1,0,0,3,0,0
25,15,26,1,2,1,0,0,0,0,0
26,15,33,1,2,1,0,0,0,0,0
27,16,42,1,2,1,0,0,0,0,0
28,16,49,1,2,1,0,0,0,0,0
29,17,57,1,2,1,0,0,0,0,0
30,18,39,1,2,2,0,0,0,0,0
31,20,21,1,2,2,0,0,4,0,0
32,20,1,1,2,2,0,0,4,0,0
33,20,9,1,2,2,0,0,4,0,0
34,20,7,1,2,2,0,0,4,0,0
35,20,2,1,2,2,0,0,4,0,0
36,20,12,1,2,2,0,0,4,0,0
37,20,20,1,2,2,0,0,4,0,0
38,20,28,1,2,2,0,0,0,0,0
39,21,35,1,2,2,0,0,0,0,0
40,21,43,1,2,2,0,0,0,0,0
41,22,43,1,2,2,0,0,0,0,0
42,23,41,1,2,2,0,0,0,0,0
43,24,38,1,2,2,0,0,0,0,0
44,24,35,1,3,2,0,0,5,0,0
45,25,30,1,3,2,0,0,5,0,0
46,26,26,1,3,2,0,0,0,0,0
47,27,31,1,3,2,0,0,0,0,0
48,27,37,1,3,2,0,0,0,0,0
49,28,40,1,3,2,0,0,0,0,0
50,28,37,1,3,2,0,0,0,0,0
51,31,24,1,3,3,0,0,0,0,0
52,31,10,1,3,3,0,0,0,0,0
53,30,19,1,3,3,0,0,0,0,0
54,30,25,1,3,3,0,0,0,0,0
55,31,32,1,3,3,0,0,0,0,0
56,32,40,1,3,3,0,0,0,0,0
57,33,48,1,3,3,0,0,0,0,0
58,33,55,1,3,3,0,0,0,0,0
59,35,59,1,3,3,0,0,0,0,0
60,36,56,1,3,3,0,0,0,0,0
61,37,53,1,3,3,0,0,0,0,0
62,37,43,1,3,3,0,0,0,0,0
63,39,7,1,3,3,0,0,0,0,0
64,39,0,1,3,3,0,0,0,0,0
65,39,0,1,3,3,0,0,0,0,0
66,39,0,1,3,3,0,0,0,0,0
67,39,0,1,3,3,0,0,0,0,0
68,39,0,1,3,3,0,0,0,0,0
69,39,0,1,3,3,0,0,0,0,0
70,39,0,1,3,3,0,0,0,0,0
71,39,0,1,3,3,0,0,0,0,0
72,39,7,1,3,3,0,0,0,0,0
73,38,16,1,3,3,0,0,0,0,0
74,39,25,1,3,3,0,0,0,0,0
75,40,33,1,3,3,0,0,0,0,0
76,40,41,1,3,3,0,0,0,0,0
77,41,49,1,3,3,0,0,0,0,0
78,42,57,1,3,3,0,0,0,0,0
79,43,64,1,3,3,0,0,0,0,0
80,45,71,1,3,3,0,0,0,0,0
81,46,78,1,3,3,0,0,0,0,0
82,47,74,1,3,3,0,0,0,0,0
83,48,50,1,3,4,0,0,0,0,0
84,53,18,2,1,4,0,0,1,0,0
85,53,21,2,1,4,0,0,1,0,0
86,53,30,2,1,4,0,0,0,0,0
87,54,38,2,1,4,0,0,0,0,0
